Sunrise/sunset (full year; text version) for TORONTO ON for 2021
Date,Nautical Twilight Start,Civil Twilight Start,Sun rise,Local noon,Sun set,Civil Twilight End,Nautical Twilight End,Hours of illumination (day),Hours of illumination (sky),Hours of illumination (total),Local Sidereal Time at 00:00 EST (hh:mm:ss)
Sep  8 2021,4:45,5:20,5:49,12:15,18:40,19:09,19:44,12.85,0.97,13.82,22:52:28
Sep  9 2021,4:47,5:21,5:50,12:15,18:38,19:07,19:42,12.80,0.97,13.77,22:56:24
Sep 10 2021,4:48,5:22,5:51,12:14,18:37,19:05,19:40,12.75,0.97,13.72,23:00:21
Sep 11 2021,4:49,5:24,5:53,12:14,18:35,19:04,19:38,12.70,0.97,13.67,23:04:17
Sep 12 2021,4:50,5:25,5:54,12:14,18:33,19:02,19:36,12.65,0.96,13.62,23:08:14
Sep 13 2021,4:52,5:26,5:55,12:13,18:31,19:00,19:34,12.60,0.96,13.57,23:12:11
Sep 14 2021,4:53,5:27,5:56,12:13,18:29,18:58,19:32,12.56,0.96,13.52,23:16:07
Sep 15 2021,4:54,5:28,5:57,12:13,18:27,18:56,19:30,12.51,0.96,13.47,23:20:04
Sep 16 2021,4:55,5:29,5:58,12:12,18:26,18:54,19:28,12.46,0.96,13.42,23:24:00
Sep 17 2021,4:56,5:30,5:59,12:12,18:24,18:52,19:26,12.41,0.96,13.36,23:27:57
Sep 18 2021,4:58,5:32,6:00,12:11,18:22,18:51,19:24,12.36,0.96,13.31,23:31:53
Sep 19 2021,4:59,5:33,6:02,12:11,18:20,18:49,19:22,12.31,0.96,13.26,23:35:50
Sep 20 2021,5:00,5:34,6:03,12:11,18:18,18:47,19:20,12.26,0.96,13.21,23:39:46
Sep 21 2021,5:01,5:35,6:04,12:10,18:16,18:45,19:19,12.21,0.95,13.16,23:43:43
Sep 22 2021,5:03,5:36,6:05,12:10,18:14,18:43,19:17,12.16,0.95,13.11,23:47:40
Sep 23 2021,5:04,5:37,6:06,12:10,18:13,18:41,19:15,12.11,0.95,13.06,23:51:36
Sep 24 2021,5:05,5:39,6:07,12:09,18:11,18:39,19:13,12.06,0.95,13.01,23:55:33
Sep 25 2021,5:06,5:40,6:08,12:09,18:09,18:38,19:11,12.01,0.95,12.96,23:59:29
Sep 26 2021,5:07,5:41,6:10,12:09,18:07,18:36,19:09,11.96,0.95,12.91,0:03:26
Sep 27 2021,5:09,5:42,6:11,12:08,18:05,18:34,19:07,11.91,0.95,12.86,0:07:22
Sep 28 2021,5:10,5:43,6:12,12:08,18:03,18:32,19:05,11.86,0.95,12.81,0:11:19
Sep 29 2021,5:11,5:44,6:13,12:08,18:02,18:30,19:04,11.81,0.95,12.76,0:15:15
Sep 30 2021,5:12,5:46,6:14,12:07,18:00,18:28,19:02,11.76,0.95,12.71,0:19:12
Oct  1 2021,5:13,5:47,6:15,12:07,17:58,18:27,19:00,11.71,0.95,12.67,0:23:09
Oct  2 2021,5:15,5:48,6:16,12:07,17:56,18:25,18:58,11.66,0.95,12.62,0:27:05
Oct  3 2021,5:16,5:49,6:18,12:06,17:54,18:23,18:56,11.61,0.95,12.57,0:31:02
Oct  4 2021,5:17,5:50,6:19,12:06,17:53,18:21,18:54,11.56,0.95,12.52,0:34:58
Oct  5 2021,5:18,5:51,6:20,12:06,17:51,18:19,18:53,11.51,0.95,12.47,0:38:55
Oct  6 2021,5:19,5:53,6:21,12:06,17:49,18:18,18:51,11.46,0.96,12.42,0:42:51
Oct  7 2021,5:20,5:54,6:22,12:05,17:47,18:16,18:49,11.42,0.96,12.37,0:46:48
Oct  8 2021,5:22,5:55,6:24,12:05,17:46,18:14,18:47,11.37,0.96,12.32,0:50:44
Oct  9 2021,5:23,5:56,6:25,12:05,17:44,18:13,18:46,11.32,0.96,12.27,0:54:41
Oct 10 2021,5:24,5:57,6:26,12:04,17:42,18:11,18:44,11.27,0.96,12.23,0:58:38
Oct 11 2021,5:25,5:58,6:27,12:04,17:40,18:09,18:42,11.22,0.96,12.18,1:02:34
Oct 12 2021,5:26,6:00,6:28,12:04,17:39,18:07,18:41,11.17,0.96,12.13,1:06:31
Oct 13 2021,5:28,6:01,6:30,12:04,17:37,18:06,18:39,11.12,0.96,12.08,1:10:27
Oct 14 2021,5:29,6:02,6:31,12:03,17:35,18:04,18:37,11.07,0.96,12.04,1:14:24
Oct 15 2021,5:30,6:03,6:32,12:03,17:34,18:03,18:36,11.02,0.96,11.99,1:18:20
Oct 16 2021,5:31,6:04,6:33,12:03,17:32,18:01,18:34,10.98,0.97,11.94,1:22:17
Oct 17 2021,5:32,6:06,6:35,12:03,17:30,17:59,18:33,10.93,0.97,11.90,1:26:13
Oct 18 2021,5:33,6:07,6:36,12:03,17:29,17:58,18:31,10.88,0.97,11.85,1:30:10
Oct 19 2021,5:35,6:08,6:37,12:02,17:27,17:56,18:30,10.83,0.97,11.80,1:34:07
Oct 20 2021,5:36,6:09,6:38,12:02,17:25,17:55,18:28,10.79,0.97,11.76,1:38:03
Oct 21 2021,5:37,6:10,6:40,12:02,17:24,17:53,18:27,10.74,0.97,11.71,1:42:00
Oct 22 2021,5:38,6:12,6:41,12:02,17:22,17:52,18:25,10.69,0.98,11.67,1:45:56
Oct 23 2021,5:39,6:13,6:42,12:02,17:21,17:50,18:24,10.64,0.98,11.62,1:49:53
Oct 24 2021,5:41,6:14,6:43,12:02,17:19,17:49,18:22,10.60,0.98,11.58,1:53:49
Oct 25 2021,5:42,6:15,6:45,12:02,17:18,17:47,18:21,10.55,0.98,11.53,1:57:46
Oct 26 2021,5:43,6:17,6:46,12:01,17:16,17:46,18:19,10.50,0.98,11.49,2:01:42
Oct 27 2021,5:44,6:18,6:47,12:01,17:15,17:44,18:18,10.46,0.99,11.44,2:05:39
Oct 28 2021,5:45,6:19,6:49,12:01,17:13,17:43,18:17,10.41,0.99,11.40,2:09:36
Oct 29 2021,5:46,6:20,6:50,12:01,17:12,17:42,18:15,10.37,0.99,11.36,2:13:32
Oct 30 2021,5:48,6:21,6:51,12:01,17:11,17:40,18:14,10.32,0.99,11.31,2:17:29
Oct 31 2021,5:49,6:23,6:53,12:01,17:09,17:39,18:13,10.28,0.99,11.27,2:21:25
Nov  1 2021,5:50,6:24,6:54,12:01,17:08,17:38,18:12,10.23,1.00,11.23,2:25:22
Nov  2 2021,5:51,6:25,6:55,12:01,17:06,17:36,18:10,10.19,1.00,11.19,2:29:18
Nov  3 2021,5:52,6:26,6:56,12:01,17:05,17:35,18:09,10.14,1.00,11.15,2:33:15
Nov  4 2021,5:54,6:28,6:58,12:01,17:04,17:34,18:08,10.10,1.00,11.11,2:37:11
Nov  5 2021,5:55,6:29,6:59,12:01,17:03,17:33,18:07,10.06,1.01,11.07,2:41:08
Nov  6 2021,5:56,6:30,7:00,12:01,17:01,17:32,18:06,10.02,1.01,11.03,2:45:05
Nov  7 2021,5:57,6:31,7:02,12:01,17:00,17:31,18:05,9.97,1.01,10.99,2:49:01
Nov  8 2021,5:58,6:33,7:03,12:01,16:59,17:29,18:04,9.93,1.01,10.95,2:52:58
Nov  9 2021,5:59,6:34,7:04,12:01,16:58,17:28,18:03,9.89,1.02,10.91,2:56:54
Nov 10 2021,6:01,6:35,7:06,12:02,16:57,17:27,18:02,9.85,1.02,10.87,3:00:51
Nov 11 2021,6:02,6:36,7:07,12:02,16:56,17:26,18:01,9.81,1.02,10.83,3:04:47
Nov 12 2021,6:03,6:38,7:08,12:02,16:55,17:25,18:00,9.77,1.03,10.80,3:08:44
Nov 13 2021,6:04,6:39,7:10,12:02,16:54,17:24,17:59,9.73,1.03,10.76,3:12:40
Nov 14 2021,6:05,6:40,7:11,12:02,16:53,17:24,17:58,9.70,1.03,10.73,3:16:37
Nov 15 2021,6:06,6:41,7:12,12:02,16:52,17:23,17:58,9.66,1.03,10.69,3:20:34
Nov 16 2021,6:08,6:42,7:14,12:02,16:51,17:22,17:57,9.62,1.04,10.66,3:24:30
Nov 17 2021,6:09,6:44,7:15,12:03,16:50,17:21,17:56,9.58,1.04,10.62,3:28:27
Nov 18 2021,6:10,6:45,7:16,12:03,16:49,17:20,17:55,9.55,1.04,10.59,3:32:23
Nov 19 2021,6:11,6:46,7:17,12:03,16:48,17:20,17:55,9.51,1.04,10.56,3:36:20
Nov 20 2021,6:12,6:47,7:19,12:03,16:47,17:19,17:54,9.48,1.05,10.53,3:40:16
Nov 21 2021,6:13,6:48,7:20,12:04,16:47,17:18,17:53,9.45,1.05,10.50,3:44:13
Nov 22 2021,6:14,6:50,7:21,12:04,16:46,17:18,17:53,9.41,1.05,10.47,3:48:09
Nov 23 2021,6:15,6:51,7:22,12:04,16:45,17:17,17:52,9.38,1.05,10.44,3:52:06
Nov 24 2021,6:16,6:52,7:24,12:04,16:45,17:16,17:52,9.35,1.06,10.41,3:56:03
Nov 25 2021,6:18,6:53,7:25,12:05,16:44,17:16,17:51,9.32,1.06,10.38,3:59:59
Nov 26 2021,6:19,6:54,7:26,12:05,16:44,17:15,17:51,9.29,1.06,10.36,4:03:56
Nov 27 2021,6:20,6:55,7:27,12:05,16:43,17:15,17:51,9.27,1.06,10.33,4:07:52
Nov 28 2021,6:21,6:56,7:28,12:06,16:43,17:15,17:50,9.24,1.07,10.30,4:11:49
Nov 29 2021,6:22,6:57,7:29,12:06,16:42,17:14,17:50,9.21,1.07,10.28,4:15:45
Nov 30 2021,6:23,6:58,7:31,12:06,16:42,17:14,17:50,9.19,1.07,10.26,4:19:42
Dec  1 2021,6:24,7:00,7:32,12:07,16:41,17:14,17:49,9.16,1.07,10.24,4:23:38
Dec  2 2021,6:25,7:01,7:33,12:07,16:41,17:13,17:49,9.14,1.08,10.21,4:27:35
Dec  3 2021,6:26,7:02,7:34,12:07,16:41,17:13,17:49,9.12,1.08,10.19,4:31:32
Dec  4 2021,6:27,7:03,7:35,12:08,16:41,17:13,17:49,9.10,1.08,10.18,4:35:28
Dec  5 2021,6:27,7:03,7:36,12:08,16:40,17:13,17:49,9.08,1.08,10.16,4:39:25
Dec  6 2021,6:28,7:04,7:37,12:09,16:40,17:13,17:49,9.06,1.08,10.14,4:43:21
Dec  7 2021,6:29,7:05,7:38,12:09,16:40,17:13,17:49,9.04,1.08,10.12,4:47:18
Dec  8 2021,6:30,7:06,7:39,12:10,16:40,17:13,17:49,9.02,1.09,10.11,4:51:14
Dec  9 2021,6:31,7:07,7:40,12:10,16:40,17:13,17:49,9.01,1.09,10.09,4:55:11
Dec 10 2021,6:32,7:08,7:41,12:11,16:40,17:13,17:49,8.99,1.09,10.08,4:59:07
Dec 11 2021,6:33,7:09,7:42,12:11,16:40,17:13,17:49,8.98,1.09,10.07,5:03:04
Dec 12 2021,6:33,7:10,7:42,12:11,16:40,17:13,17:49,8.97,1.09,10.06,5:07:00
Dec 13 2021,6:34,7:10,7:43,12:12,16:41,17:13,17:50,8.96,1.09,10.05,5:10:57
Dec 14 2021,6:35,7:11,7:44,12:12,16:41,17:14,17:50,8.95,1.09,10.04,5:14:54
Dec 15 2021,6:35,7:12,7:45,12:13,16:41,17:14,17:50,8.94,1.09,10.03,5:18:50
Dec 16 2021,6:36,7:12,7:45,12:13,16:41,17:14,17:50,8.93,1.10,10.03,5:22:47
Dec 17 2021,6:37,7:13,7:46,12:14,16:42,17:14,17:51,8.93,1.10,10.02,5:26:43
Dec 18 2021,6:37,7:14,7:47,12:14,16:42,17:15,17:51,8.92,1.10,10.02,5:30:40
Dec 19 2021,6:38,7:14,7:47,12:15,16:42,17:15,17:52,8.92,1.10,10.02,5:34:36
Dec 20 2021,6:39,7:15,7:48,12:15,16:43,17:16,17:52,8.92,1.10,10.01,5:38:33
Dec 21 2021,6:39,7:15,7:48,12:16,16:43,17:16,17:53,8.92,1.10,10.01,5:42:29
Dec 22 2021,6:40,7:16,7:49,12:16,16:44,17:17,17:53,8.92,1.10,10.01,5:46:26
Dec 23 2021,6:40,7:16,7:49,12:17,16:44,17:17,17:54,8.92,1.10,10.02,5:50:23
Dec 24 2021,6:40,7:17,7:50,12:17,16:45,17:18,17:54,8.92,1.10,10.02,5:54:19
Dec 25 2021,6:41,7:17,7:50,12:18,16:46,17:18,17:55,8.93,1.10,10.02,5:58:16
Dec 26 2021,6:41,7:17,7:50,12:18,16:46,17:19,17:55,8.93,1.10,10.03,6:02:12
Dec 27 2021,6:41,7:18,7:51,12:19,16:47,17:20,17:56,8.94,1.09,10.03,6:06:09
Dec 28 2021,6:42,7:18,7:51,12:19,16:48,17:21,17:57,8.95,1.09,10.04,6:10:05
Dec 29 2021,6:42,7:18,7:51,12:20,16:49,17:21,17:58,8.96,1.09,10.05,6:14:02
Dec 30 2021,6:42,7:18,7:51,12:20,16:49,17:22,17:58,8.97,1.09,10.06,6:17:58
Dec 31 2021,6:42,7:19,7:51,12:21,16:50,17:23,17:59,8.98,1.09,10.07,6:21:55
